2022-02-18T16-04-21,46312,CCN Saint Catherine Hospital,02/16/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,46312,CCN Saint Catherine Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,46312,CCN Saint Catherine Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,46312,CCN Saint Catherine Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,46312,ST CATHERINE HOSPITAL INC,NLP,NLP,NLP,46,03/23/2022 12:00:00 AM
