2022-02-18T16-04-21,56470,CHI ST JOSEPHS AREA HLTH SRVCS HOSP,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,56470,CHI ST JOSEPHS AREA HLTH SRVCS HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,56470,CHI ST JOSEPHS AREA HLTH SRVCS HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,56470,CHI ST JOSEPHS AREA HLTH SRVCS HOSP,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,56470,ST JOSEPHS AREA  HEALTH SERVICES,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56470,ST JOSEPHS AREA  HEALTH SERVICES,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56470,ST JOSEPHS AREA  HEALTH SERVICES,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,56470,ST JOSEPHS AREA  HEALTH SERVICES,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56470,ST JOSEPHS AREA  HEALTH SERVICES,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56470,ST JOSEPHS AREA  HEALTH SERVICES,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56470,ST JOSEPHS AREA  HEALTH SERVICES,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
