2022-03-03T09-56-49,47804,UNION HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,47804,UNION HOSPITAL,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,47804,UNION HOSPITAL,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,47804,UNION HOSPITAL INC,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,47804,UNION HOSPITAL INC,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,47804,UNION HOSPITAL INC,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,47804,UNION HOSPITAL INC,NLP,NLP,NLP,43,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,47804,UNION HOSPITAL INC,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,47804,UNION HOSPITAL INC,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,47804,UNION HOSPITAL INC,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,47804,UNION HOSPITAL INC,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,47804,UNION HOSPITAL INC,NLP,NLP,NLP,41,03/23/2022 12:00:00 AM
