2022-02-18T16-04-21,42101,THE MEDICAL CENTER OF BOWLING GREEN,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,60,,
2022-03-03T09-56-49,42101,THE MEDICAL CENTER OF BOWLING GREEN,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-03T10-04-44,42101,THE MEDICAL CENTER OF BOWLING GREEN,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-08T14-40-56,42101,THE MEDICAL CENTER OF BOWLING GREEN,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-16T18-51-35,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,137,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,137,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,137,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,42101,THE MEDICAL CENTER AT BOWLING GREEN,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
