2022-02-18T16-04-21,11415,Simeon Godick PA,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,11415,Simeon Godick PA,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,11415,Simeon Godick PA,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,11415,Simeon Godick PA,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,66,,
2022-03-16T18-51-35,11415,Simeon D. Godick Physician Assistant,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,11415,Simeon D. Godick Physician Assistant,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,11415,Simeon D. Godick Physician Assistant,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-19T11-58-02,11415,Simeon D. Godick Physician Assistant,NLP,NLP,NLP,148,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,11415,Simeon D. Godick Physician Assistant,NLP,NLP,NLP,148,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,11415,Simeon D. Godick Physician Assistant,NLP,NLP,NLP,148,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,11415,Simeon D. Godick Physician Assistant,NLP,NLP,NLP,148,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,11415,Simeon D. Godick Physician Assistant,NLP,NLP,NLP,148,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,11415,Simeon D. Godick Physician Assistant,NLP,NLP,NLP,148,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,11415,Simeon D. Godick Physician Assistant,NLP,NLP,NLP,148,03/16/2022 12:00:00 AM
