2022-02-18T16-04-21,98004,OVERLAKE HOSPITAL MEDICAL CENTER,02/18/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,98004,OVERLAKE HOSPITAL MEDICAL CENTER,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,98004,OVERLAKE HOSPITAL MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,98004,OVERLAKE HOSPITAL MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,58,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,58,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,58,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,98004,OVERLAKE HOSPITAL MEDICAL CENTER,NLP,NLP,NLP,54,03/23/2022 12:00:00 AM
