2022-02-18T16-04-21,28806,MERCY URGENT CARE WEST,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,28806,MERCY URGENT CARE WEST,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,28806,MERCY URGENT CARE WEST,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,28806,MERCY URGENT CARE WEST,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,28806,Mercy Urgent Care,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,28806,Mercy Urgent Care,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,28806,Mercy Urgent Care,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,28806,Mercy Urgent Care,NLP,NLP,NLP,7,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,28806,Mercy Urgent Care,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
