2022-02-18T16-04-21,67460,MCPHERSON HOSPITAL,02/14/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,67460,MCPHERSON HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,67460,MCPHERSON HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,67460,MCPHERSON HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,67460,MCPHERSON HOSPITAL INC,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,67460,MCPHERSON HOSPITAL INC,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,67460,MCPHERSON HOSPITAL INC,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,67460,MCPHERSON HOSPITAL INC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,67460,MCPHERSON HOSPITAL INC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,67460,MCPHERSON HOSPITAL INC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,67460,MCPHERSON HOSPITAL INC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
