2022-03-08T14-40-56,81050,ARKANSAS VALLEY REGIONAL MED. CNTR,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,81050,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
