2022-02-18T16-04-21,20678,CALVERTHEALTH MEDICAL CENTER,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,20678,CALVERTHEALTH MEDICAL CENTER,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,20678,CALVERTHEALTH MEDICAL CENTER,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,20678,CALVERTHEALTH MEDICAL CENTER,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,49,03/23/2022 12:00:00 AM
