2022-02-18T16-04-21,47501,DAVIESS COMMUNITY HOSPITAL,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,47501,DAVIESS COMMUNITY HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,47501,DAVIESS COMMUNITY HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,47501,DAVIESS COMMUNITY HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,47501,DAVIESS COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,47501,WILLIAMS BROS HEALTH CARE PHCY INC,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,47501,WILLIAMS BROS HEALTH CARE PHCY INC,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,47501,DAVIESS COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,47501,WILLIAMS BROS HEALTH CARE PHCY INC,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,47501,DAVIESS COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,47501,DAVIESS COMMUNITY HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,47501,DAVIESS COMMUNITY HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,47501,DAVIESS COMMUNITY HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,47501,DAVIESS COMMUNITY HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,47501,DAVIESS COMMUNITY HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,47501,DAVIESS COMMUNITY HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
