2022-02-18T16-04-21,45219,CHRIST HOSPITAL - MAIN,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,45219,CHRIST HOSPITAL - MAIN,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,45219,CHRIST HOSPITAL - MAIN,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,45219,CHRIST HOSPITAL - MAIN,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,45219,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",NLP,NLP,NLP,85,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,45219,CHRIST HOSPITAL,NLP,NLP,NLP,55,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,45219,CHRIST HOSPITAL,NLP,NLP,NLP,55,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,45219,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",NLP,NLP,NLP,85,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,45219,CHRIST HOSPITAL,NLP,NLP,NLP,55,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,45219,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",NLP,NLP,NLP,85,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,45219,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,45219,CHRIST HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,45219,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,45219,CHRIST HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,45219,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,45219,CHRIST HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
