2022-02-18T16-04-21,12180,SAMARITAN HOSP PURCHASING,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,12180,SAMARITAN HOSP PURCHASING,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,12180,SAMARITAN HOSP PURCHASING,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,12180,SAMARITAN HOSP PURCHASING,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,87,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,87,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,87,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,12180,SAMARITAN HOSPITAL,NLP,NLP,NLP,123,03/23/2022 12:00:00 AM
