2022-03-08T14-40-56,81201,HEART OF THE ROCKIES REG MED CTR,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,12,,
2022-03-24T13-46-29,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,81201,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
