2022-02-18T16-04-21,41501,PIKEVILLE MEDICAL CENTER 200366,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,96,,
2022-03-03T09-56-49,41501,PIKEVILLE MEDICAL CENTER 200366,02/25/2022 12:00:00 AM,02/23/2022 12:00:00 AM,288,,
2022-03-03T10-04-44,41501,PIKEVILLE MEDICAL CENTER 200366,02/25/2022 12:00:00 AM,02/23/2022 12:00:00 AM,288,,
2022-03-08T14-40-56,41501,PIKEVILLE MEDICAL CENTER 200366,02/25/2022 12:00:00 AM,02/23/2022 12:00:00 AM,288,,
2022-03-16T18-51-35,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,123,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,123,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,123,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,99,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,99,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,99,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,99,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,99,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,99,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,99,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,41501,PIKEVILLE MEDICAL CENTER,NLP,NLP,NLP,99,03/16/2022 12:00:00 AM
