2022-02-18T16-04-21,65613,CITIZENS MEMORIAL HOSPITAL CV0135,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,65613,CITIZENS MEMORIAL HOSPITAL CV0135,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,65613,CITIZENS MEMORIAL HOSPITAL CV0135,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,65613,CITIZENS MEMORIAL HOSPITAL CV0135,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,57,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,57,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,57,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,65613,CITIZENS MEMORIAL HOSPITAL,NLP,NLP,NLP,55,03/16/2022 12:00:00 AM
