2022-02-18T16-04-21,21742,MERITUS MEDICAL CENTER,02/17/2022 12:00:00 AM,,54,,
2022-03-03T09-56-49,21742,MERITUS MEDICAL CENTER,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,108,,
2022-03-03T10-04-44,21742,MERITUS MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,108,,
2022-03-08T14-40-56,21742,MERITUS MEDICAL CENTER,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,120,,
2022-03-18T09-58-11,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,186,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,186,03/09/2022 12:00:00 AM
2022-03-19T11-58-02,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,21742,MERITUS MEDICAL CENTER,NLP,NLP,NLP,169,03/23/2022 12:00:00 AM
