2022-02-18T16-04-21,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,50659,MERCYONE NEW HAMPTON MEDICAL CENTER,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
