2022-02-18T16-04-21,41339,KENTUCKY RIVER MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,41339,KENTUCKY RIVER MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,41339,KENTUCKY RIVER MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,41339,KENTUCKY RIVER MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,41339,KENTUCKY RIVER MEDICAL CENTER,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,41339,KENTUCKY RIVER MEDICAL CENTER,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,41339,KENTUCKY RIVER MEDICAL CENTER,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,41339,KENTUCKY RIVER MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,41339,KENTUCKY RIVER MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,41339,KENTUCKY RIVER MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,41339,KENTUCKY RIVER MEDICAL CENTER,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
