2022-02-18T16-04-21,13903,UHS Binghamton General Hospital,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,13903,UHS Binghamton General Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,13903,UHS Binghamton General Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,13903,UHS Binghamton General Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,13903,"UNITED HEALTH SERVICES HOSPITALS, INC",NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,13903,"UNITED HEALTH SERVICES HOSPITALS, INC",NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,13903,"UNITED HEALTH SERVICES HOSPITALS, INC",NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,13903,"UNITED HEALTH SERVICES HOSPITALS, INC",NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,13903,"UNITED HEALTH SERVICES HOSPITALS, INC",NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,13903,"UNITED HEALTH SERVICES HOSPITALS, INC",NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,13903,"UNITED HEALTH SERVICES HOSPITALS, INC",NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
