2022-02-18T16-04-21,55422,MINNEAPOLIS HEALTH CLINIC GOLDEN,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,55422,MINNEAPOLIS HEALTH CLINIC GOLDEN,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,55422,MINNEAPOLIS HEALTH CLINIC GOLDEN,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,55422,MINNEAPOLIS HEALTH CLINIC GOLDEN,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,55422,Minneapolis Health Clinic,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,55422,Minneapolis Health Clinic,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,55422,Minneapolis Health Clinic,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,55422,Minneapolis Health Clinic,NLP,NLP,NLP,38,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,55422,Minneapolis Health Clinic,NLP,NLP,NLP,54,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,55422,Minneapolis Health Clinic,NLP,NLP,NLP,54,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,55422,Minneapolis Health Clinic,NLP,NLP,NLP,54,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,55422,Minneapolis Health Clinic,NLP,NLP,NLP,54,03/23/2022 12:00:00 AM
