2022-02-18T16-04-21,60441,DULY HEALTH AND CARE,02/17/2022 12:00:00 AM,,54,,
2022-03-03T09-56-49,60441,DULY HEALTH AND CARE,02/23/2022 12:00:00 AM,02/22/2022 12:00:00 AM,108,,
2022-03-03T10-04-44,60441,DULY HEALTH AND CARE,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,108,,
2022-03-08T14-40-56,60441,DULY HEALTH AND CARE,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,108,,
2022-03-16T18-51-35,60441,DMG IMMEDIATE CARE,NLP,NLP,NLP,296,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,60441,Lockport Express Medical,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,60441,Lockport Express Medical,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,60441,DMG IMMEDIATE CARE,NLP,NLP,NLP,296,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,60441,Lockport Express Medical,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,60441,DMG IMMEDIATE CARE,NLP,NLP,NLP,296,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,60441,DMG IMMEDIATE CARE,NLP,NLP,NLP,294,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,60441,DMG IMMEDIATE CARE,NLP,NLP,NLP,294,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,60441,DMG IMMEDIATE CARE,NLP,NLP,NLP,294,03/16/2022 12:00:00 AM
