2022-02-18T16-04-21,52245,MERCY HOSPITAL IOWA CITY,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,52245,MERCY HOSPITAL IOWA CITY,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,52245,MERCY HOSPITAL IOWA CITY,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,52245,MERCY HOSPITAL IOWA CITY,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,52245,MERCY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
