2022-03-08T14-40-56,93240,KERN VALLEY HLTHCARE DIST-RHC-2,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,93240,KERN VALLEY HEALTHCARE DISTRICT,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
