2022-02-18T16-04-21,75390,UTSW CLEMENTS HOSPITAL,02/15/2022 12:00:00 AM,02/16/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,75390,UTSW CLEMENTS HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,75390,UTSW CLEMENTS HOSPITAL,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,168,,
2022-03-08T14-40-56,75390,UTSW CLEMENTS HOSPITAL,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,168,,
2022-03-16T18-51-35,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,206,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,206,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,206,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,204,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,201,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,75390,UT SOUTHWESTERN UNIVERSITY HOSPITAL,NLP,NLP,NLP,201,03/23/2022 12:00:00 AM
