2022-02-18T16-04-21,15220,GREENTREE PITTSBURGH LOCATION,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,15220,GREENTREE PITTSBURGH LOCATION,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,15220,GREENTREE PITTSBURGH LOCATION,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,15220,GREENTREE PITTSBURGH LOCATION,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,42,,
2022-03-18T09-58-11,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-25T08-10-53,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,115,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,115,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,115,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,115,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,115,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,115,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,115,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,115,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,115,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,104,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,104,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,104,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,15220,GREENTREE MEDICAL CENTER PC,NLP,NLP,NLP,104,03/30/2022 12:00:00 AM
