2022-02-18T16-04-21,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,96,,
2022-03-03T09-56-49,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-03T10-04-44,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-08T14-40-56,77555,UTMB UNIVERSITY OF TEXAS MED BRANCH,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-16T18-51-35,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-03-30T09-27-07,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-03-31T08-53-07,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-04-01T06-54-45,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-04-03T05-51-54,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-04-04T05-38-24,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
2022-04-05T05-48-33,77555,UNIVERSITY OF TEXAS MEDICAL BRANCH,NLP,NLP,NLP,93,03/09/2022 12:00:00 AM
