2022-02-18T16-04-21,97301,Salem Hospital,02/17/2022 12:00:00 AM,,54,,
2022-03-03T09-56-49,97301,Salem Hospital,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,78,,
2022-03-03T10-04-44,97301,Salem Hospital,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,97301,Salem Hospital,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,78,,
2022-03-16T18-51-35,97301,SALEM HLTH PHCY,NLP,NLP,NLP,179,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,97301,SALEM HOSPITAL,NLP,NLP,NLP,179,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,97301,SALEM HOSPITAL,NLP,NLP,NLP,179,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,97301,SALEM HLTH PHCY,NLP,NLP,NLP,179,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,97301,SALEM HOSPITAL,NLP,NLP,NLP,179,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,97301,SALEM HLTH PHCY,NLP,NLP,NLP,179,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,97301,SALEM HLTH PHCY,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,97301,SALEM HOSPITAL,NLP,NLP,NLP,176,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,97301,SALEM HLTH PHCY,NLP,NLP,NLP,112,03/23/2022 12:00:00 AM
