2022-02-18T16-04-21,32514,WEST FL HOSP,02/17/2022 12:00:00 AM,,48,,
2022-03-03T09-56-49,32514,WEST FL HOSP,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,96,,
2022-03-03T10-04-44,32514,WEST FL HOSP,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,32514,West Florida Hospital,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,198,,
2022-03-16T18-51-35,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32514,HCA FLORIDA WEST HOSPITAL,NLP,NLP,NLP,230,03/16/2022 12:00:00 AM
