2022-02-18T16-04-21,40202,NORTON CANCER INSTITUTE,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,144,,
2022-03-03T09-56-49,40202,NORTON CANCER INSTITUTE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,288,,
2022-03-03T10-04-44,40202,NORTON CANCER INSTITUTE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,288,,
2022-03-08T14-40-56,40202,NORTON CANCER INSTITUTE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,288,,
2022-03-16T18-51-35,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,40202,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,40202,UNIVERSITY OF LOUISVILLE HOSPITAL,NLP,NLP,NLP,103,03/16/2022 12:00:00 AM
