2022-02-18T16-04-21,70403,NORTH OAKS HEALTH SYSTEM-PHARMACY,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,70403,NORTH OAKS HEALTH SYSTEM-PHARMACY,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,70403,NORTH OAKS HEALTH SYSTEM-PHARMACY,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,70403,NORTH OAKS HEALTH SYSTEM-PHARMACY,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,70403,"NORTH OAKS MEDICAL CENTER, L L C",NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,70403,UNIVERSAL BEHAVIORAL HEALTH HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,70403,"NORTH OAKS MEDICAL CENTER, L L C",NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,70403,UNIVERSAL BEHAVIORAL HEALTH HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,70403,"NORTH OAKS MEDICAL CENTER, L L C",NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,70403,UNIVERSAL BEHAVIORAL HEALTH HOSPITAL,NLP,NLP,NLP,23,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,70403,UNIVERSAL BEHAVIORAL HEALTH HOSPITAL,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,70403,"NORTH OAKS MEDICAL CENTER, L L C",NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,70403,UNIVERSAL BEHAVIORAL HEALTH HOSPITAL,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,70403,"NORTH OAKS MEDICAL CENTER, L L C",NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,70403,UNIVERSAL BEHAVIORAL HEALTH HOSPITAL,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,70403,"NORTH OAKS MEDICAL CENTER, L L C",NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,70403,UNIVERSAL BEHAVIORAL HEALTH HOSPITAL,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,70403,"NORTH OAKS MEDICAL CENTER, L L C",NLP,NLP,NLP,52,03/16/2022 12:00:00 AM
