2022-02-18T16-04-21,80525,Origin Healthcare,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,80525,Origin Healthcare,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,80525,Origin Healthcare,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,80525,Origin Healthcare,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,42,,
2022-03-18T09-58-11,80525,Origin Healthcare,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,80525,Origin Healthcare,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,80525,Origin Healthcare,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,80525,Origin Healthcare,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,80525,Origin Healthcare,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,80525,Origin Healthcare,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,80525,Origin Healthcare,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,80525,Origin Healthcare,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,80525,Origin Healthcare,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,80525,Origin Healthcare,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
