2022-02-18T16-04-21,65212,UNIVERSITY OF MISSOURI HEALTH CARE,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,65212,UNIVERSITY OF MISSOURI HEALTH CARE,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,65212,UNIVERSITY OF MISSOURI HEALTH CARE,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,65212,UNIVERSITY OF MISSOURI HEALTH CARE,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,37,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,37,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,37,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,49,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,65212,UNIVERSITY OF MISSOURI HEALTH CARE,NLP,NLP,NLP,48,03/30/2022 12:00:00 AM
