2022-02-18T16-04-21,44833,AVITA - GALION COM HOSPITAL,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,60,,
2022-03-03T09-56-49,44833,AVITA - GALION COM HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,120,,
2022-03-03T10-04-44,44833,AVITA - GALION COM HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,120,,
2022-03-08T14-40-56,44833,AVITA - GALION COM HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,120,,
2022-03-16T18-51-35,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,233,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,233,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,233,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,229,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,227,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,227,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,227,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,227,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,227,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,227,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,44833,GALION COMMUNITY HOSPITAL,NLP,NLP,NLP,227,03/23/2022 12:00:00 AM
