2022-02-18T16-04-21,83544,CLEARWATER VALLEY HOSPITAL,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,83544,CLEARWATER VALLEY HOSPITAL,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,83544,CLEARWATER VALLEY HOSPITAL,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,83544,CLEARWATER VALLEY HOSPITAL,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,32,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,83544,CLEARWATER VALLEY HOSPITAL & CLINICS,NLP,NLP,NLP,23,03/23/2022 12:00:00 AM
