2022-03-08T14-40-56,36207,NORTHEAST ALABAMA REGIONAL MEDICAL,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,36207,PrimaryCareCenterofNortheast AL,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,36207,PrimaryCareCenterofNortheast AL,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,36207,PrimaryCareCenterofNortheast AL,NLP,NLP,NLP,11,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,36207,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,33,03/23/2022 12:00:00 AM
