2022-02-18T16-04-21,15963,WINDBER MEDICAL CENTER/ Chan Soon,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,15963,WINDBER MEDICAL CENTER/ Chan Soon,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,15963,WINDBER MEDICAL CENTER/ Chan Soon,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,15963,WINDBER MEDICAL CENTER/ Chan Soon,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,15963,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15963,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15963,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,15963,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,15963,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,15963,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,15963,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,15963,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
