2022-03-03T10-04-44,60435,E MEDIATE CURE QUICK CARE,02/28/2022 12:00:00 AM,,102,,
2022-03-08T14-40-56,60435,E MEDIATE CURE QUICK CARE,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,204,,
2022-03-08T14-40-56,60435,BASINGERS PHARMACY,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,252,,
2022-03-16T18-51-35,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,58,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,58,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,60435,Emediate Cure Quick Care,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,58,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,60435,Emediate Cure Quick Care,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-19T11-58-02,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,60435,PRESENCE SAINT JOSEPH MEDICAL CENTER,NLP,NLP,NLP,57,03/23/2022 12:00:00 AM
