2022-02-18T16-04-21,98405,MULTICARE MED CTR ED PHARM.,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,98405,MULTICARE MED CTR ED PHARM.,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,98405,MULTICARE MED CTR ED PHARM.,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,98405,MULTICARE MED CTR ED PHARM.,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,98405,ST JOSEPH MEDICAL CENTER,NLP,NLP,NLP,120,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,98405,TACOMA GENERAL ALLENMORE HOSPITAL,NLP,NLP,NLP,102,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,98405,ST JOSEPH MEDICAL CENTER,NLP,NLP,NLP,120,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,98405,TACOMA GENERAL ALLENMORE HOSPITAL,NLP,NLP,NLP,102,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,98405,ST JOSEPH MEDICAL CENTER,NLP,NLP,NLP,120,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,98405,TACOMA GENERAL ALLENMORE HOSPITAL,NLP,NLP,NLP,102,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,98405,TACOMA GENERAL ALLENMORE HOSPITAL,NLP,NLP,NLP,162,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,98405,ST JOSEPH MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,98405,TACOMA GENERAL ALLENMORE HOSPITAL,NLP,NLP,NLP,162,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,98405,ST JOSEPH MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,98405,TACOMA GENERAL ALLENMORE HOSPITAL,NLP,NLP,NLP,162,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,98405,ST JOSEPH MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,98405,TACOMA GENERAL ALLENMORE HOSPITAL,NLP,NLP,NLP,162,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,98405,ST JOSEPH MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,98405,TACOMA GENERAL ALLENMORE HOSPITAL,NLP,NLP,NLP,162,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,98405,ST JOSEPH MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,98405,TACOMA GENERAL ALLENMORE HOSPITAL,NLP,NLP,NLP,162,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,98405,ST JOSEPH MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,98405,TACOMA GENERAL ALLENMORE HOSPITAL,NLP,NLP,NLP,162,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,98405,ST JOSEPH MEDICAL CENTER,NLP,NLP,NLP,119,03/16/2022 12:00:00 AM
