2022-02-18T16-04-21,65775,OZARKS MEDICAL CENTER,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,65775,OZARKS MEDICAL CENTER,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,108,,
2022-03-03T10-04-44,65775,OZARKS MEDICAL CENTER,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,108,,
2022-03-08T14-40-56,65775,OZARKS MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,108,,
2022-03-16T18-51-35,65775,OZARKS HEALTHCARE,NLP,NLP,NLP,150,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,65775,OZARKS HEALTHCARE,NLP,NLP,NLP,150,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,65775,OZARKS HEALTHCARE,NLP,NLP,NLP,150,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,65775,OZARKS HEALTHCARE,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,65775,OZARKS HEALTHCARE,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,65775,OZARKS HEALTHCARE,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,65775,OZARKS HEALTHCARE,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,65775,OZARKS HEALTHCARE,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,65775,OZARKS HEALTHCARE,NLP,NLP,NLP,149,03/16/2022 12:00:00 AM
