2022-02-18T16-04-21,62948,HERRIN HOSPITAL,02/17/2022 12:00:00 AM,,102,,
2022-03-03T09-56-49,62948,HERRIN HOSPITAL,02/23/2022 12:00:00 AM,02/22/2022 12:00:00 AM,222,,
2022-03-03T10-04-44,62948,HERRIN HOSPITAL,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,222,,
2022-03-08T14-40-56,62948,HERRIN HOSPITAL,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,222,,
2022-03-16T18-51-35,62948,HERRIN HOSPITAL,NLP,NLP,NLP,275,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,62948,HERRIN HOSPITAL,NLP,NLP,NLP,275,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,62948,HERRIN HOSPITAL,NLP,NLP,NLP,275,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,62948,HERRIN HOSPITAL,NLP,NLP,NLP,272,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,62948,HERRIN HOSPITAL,NLP,NLP,NLP,269,03/23/2022 12:00:00 AM
