2022-02-18T16-04-21,40962,ADVENTHEALTH MANCHESTER PRIMARY,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,40962,ADVENTHEALTH MANCHESTER PRIMARY,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,40962,ADVENTHEALTH MANCHESTER PRIMARY,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,40962,ADVENTHEALTH MANCHESTER PRIMARY,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,37,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,37,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,37,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,31,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,31,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,31,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,31,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,31,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,40962,ADVENTHEALTH MANCHESTER,NLP,NLP,NLP,31,03/23/2022 12:00:00 AM
