2022-02-18T16-04-21,64402,MOSAIC MEDICAL CENTER ALBANY,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,64402,MOSAIC MEDICAL CENTER ALBANY,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,64402,MOSAIC MEDICAL CENTER ALBANY,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,64402,MOSAIC MEDICAL CENTER ALBANY,03/08/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,64402,MOSAIC MEDICAL CENTER ALBANY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,64402,MOSAIC MEDICAL CENTER ALBANY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,64402,MOSAIC MEDICAL CENTER ALBANY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,64402,MOSAIC MEDICAL CENTER ALBANY,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,64402,MOSAIC MEDICAL CENTER ALBANY,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,64402,MOSAIC MEDICAL CENTER ALBANY,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,64402,MOSAIC MEDICAL CENTER ALBANY,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,64402,MOSAIC MEDICAL CENTER ALBANY,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,64402,MOSAIC MEDICAL CENTER ALBANY,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,64402,MOSAIC MEDICAL CENTER ALBANY,NLP,NLP,NLP,37,03/16/2022 12:00:00 AM
