2022-02-18T16-04-21,74132,TULSA ER AND HOSPITAL,02/16/2022 12:00:00 AM,,36,,
2022-03-03T09-56-49,74132,TULSA ER AND HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,74132,TULSA ER AND HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,74132,TULSA ER AND HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,74132,Tulsa ER & Hospital,NLP,NLP,NLP,98,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,74132,Tulsa ER & Hospital,NLP,NLP,NLP,98,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,74132,Tulsa ER & Hospital,NLP,NLP,NLP,98,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,74132,Tulsa ER & Hospital,NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,74132,Tulsa ER & Hospital,NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,74132,Tulsa ER & Hospital,NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,74132,Tulsa ER & Hospital,NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,74132,Tulsa ER & Hospital,NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,74132,Tulsa ER & Hospital,NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,74132,Tulsa ER & Hospital,NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,74132,Tulsa ER & Hospital,NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,74132,Tulsa ER & Hospital,NLP,NLP,NLP,94,03/16/2022 12:00:00 AM
