2022-02-18T16-04-21,29203,PRISMA HEALTH - MIDLANDS,02/18/2022 12:00:00 AM,,108,,
2022-03-03T09-56-49,29203,PRISMA HEALTH - MIDLANDS,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,288,,
2022-03-03T10-04-44,29203,PRISMA HEALTH - MIDLANDS,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,288,,
2022-03-08T14-40-56,29203,PRISMA HEALTH - MIDLANDS,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,438,,
2022-03-16T18-51-35,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,578,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,578,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,578,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,625,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,29203,PRISMA HEALTH RICHLAND HOSPITAL,NLP,NLP,NLP,622,03/23/2022 12:00:00 AM
