2022-02-18T16-04-21,26241,DAVIS MEDICAL CENTER - ELKINS,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,26241,DAVIS MEDICAL CENTER - ELKINS,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,26241,DAVIS MEDICAL CENTER - ELKINS,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,26241,DAVIS MEDICAL CENTER - ELKINS,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,26241,DAVIS MEDICAL CENTER,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,26241,DAVIS MEDICAL CENTER,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,26241,DAVIS MEDICAL CENTER,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,26241,DAVIS MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,26241,DAVIS MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,26241,DAVIS MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,26241,DAVIS MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,26241,DAVIS MEDICAL CENTER,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
