2022-02-18T16-04-21,02301,STEWARD GOOD SAMARITAN MEDICAL CENT,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,02301,STEWARD GOOD SAMARITAN MEDICAL CENT,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,02301,STEWARD GOOD SAMARITAN MEDICAL CENT,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,02301,STEWARD GOOD SAMARITAN MEDICAL CENT,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,74,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,74,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,74,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,02301,GOOD SAMARITAN MEDICAL CENTER,NLP,NLP,NLP,85,03/23/2022 12:00:00 AM
