2022-02-18T16-04-21,82801,Sheridan Memorial Hospital,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,82801,Sheridan Memorial Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,82801,Sheridan Memorial Hospital,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,82801,Sheridan Memorial Hospital,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,82801,SHERIDAN MEMORIAL HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,82801,SHERIDAN MEMORIAL HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,82801,SHERIDAN MEMORIAL HOSPITAL,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,82801,SHERIDAN MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,82801,SHERIDAN MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,82801,SHERIDAN MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,82801,SHERIDAN MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
