2022-03-08T14-40-56,60201,NORTHSHORE UNIVERSITY HEALTH SYSTEM,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,60201,NORTHSHORE UNIVERSITY HEALTHSYSTEM EVANSTON HOSP,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
