2022-02-18T16-04-21,63555,SCOTLAND COUNTY HOSPITAL,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,63555,SCOTLAND COUNTY HOSPITAL,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,63555,SCOTLAND COUNTY HOSPITAL,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,63555,SCOTLAND COUNTY HOSPITAL,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,63555,SCOTLAND COUNTY  HOSPITAL,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
