2022-02-18T16-04-21,80909,UCHEALTH MEMORIAL HOSPITAL CENTRAL,02/17/2022 12:00:00 AM,,96,,
2022-03-03T09-56-49,80909,UCHEALTH MEMORIAL HOSPITAL CENTRAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,216,,
2022-03-03T10-04-44,80909,UCHEALTH MEMORIAL HOSPITAL CENTRAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,216,,
2022-03-08T14-40-56,80909,UCHEALTH MEMORIAL HOSPITAL CENTRAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,282,,
2022-03-16T18-51-35,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,199,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,199,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,199,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,222,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,232,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,232,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,232,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,232,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,80909,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,NLP,NLP,NLP,232,03/23/2022 12:00:00 AM
