2022-02-18T16-04-21,88001,THREE CROSSES REG HOSPITAL,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,88001,THREE CROSSES REG HOSPITAL,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,88001,THREE CROSSES REG HOSPITAL,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,88001,THREE CROSSES REG HOSPITAL,03/04/2022 12:00:00 AM,03/02/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-19T11-58-02,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,23,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,22,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,22,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,22,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,22,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,22,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,22,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,22,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,88001,THREE CROSSES REGIONAL HOSPITAL LLC,NLP,NLP,NLP,22,03/23/2022 12:00:00 AM
