2022-02-18T16-04-21,96793,Maui Memorial Medical Center,02/16/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,96793,Maui Memorial Medical Center,02/24/2022 12:00:00 AM,02/26/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,96793,Maui Memorial Medical Center,02/24/2022 12:00:00 AM,02/26/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,96793,Maui Memorial Medical Center,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,124,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,124,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,124,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,131,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,96793,Maui Community Correctional Center,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,96793,Maui Community Correctional Center,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,96793,Maui Community Correctional Center,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,96793,Maui Community Correctional Center,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,96793,MAUI MEMORIAL MEDICAL CENTER,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,96793,Maui Community Correctional Center,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
