2022-02-18T16-04-21,88240,COVENANT HEALTH HOBBS(Lea Regional),02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,88240,COVENANT HEALTH HOBBS(Lea Regional),02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,88240,COVENANT HEALTH HOBBS(Lea Regional),02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,88240,COVENANT HEALTH HOBBS(Lea Regional),03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,18,,
2022-03-24T13-46-29,88240,COVENANT HEALTH HOBBS HOSPITAL,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,88240,COVENANT HEALTH HOBBS HOSPITAL,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,88240,COVENANT HEALTH HOBBS HOSPITAL,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,88240,COVENANT HEALTH HOBBS HOSPITAL,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,88240,COVENANT HEALTH HOBBS HOSPITAL,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,88240,COVENANT HEALTH HOBBS HOSPITAL,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,88240,COVENANT HEALTH HOBBS HOSPITAL,NLP,NLP,NLP,26,03/23/2022 12:00:00 AM
