2022-03-08T14-40-56,41041,FLEMING COUNTY HOSPITAL,03/04/2022 12:00:00 AM,,12,,
2022-03-16T18-51-35,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,41041,Fleming County Hospital,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,41041,FLEMING COUNTY HOSPITAL,NLP,NLP,NLP,13,03/30/2022 12:00:00 AM
