2022-02-18T16-04-21,73110,SSM HEALTH ST ANTHONY HOSP MIDWEST,02/16/2022 12:00:00 AM,,36,,
2022-03-03T09-56-49,73110,SSM HEALTH ST ANTHONY HOSP MIDWEST,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,73110,SSM HEALTH ST ANTHONY HOSP MIDWEST,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,73110,SSM HEALTH ST ANTHONY HOSP MIDWEST,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,73110,SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,NLP,NLP,NLP,94,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,73110,SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,NLP,NLP,NLP,94,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,73110,SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,NLP,NLP,NLP,94,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,73110,SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,73110,SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,73110,SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,73110,SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,73110,SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,73110,SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,NLP,NLP,NLP,93,03/16/2022 12:00:00 AM
