2022-02-18T16-04-21,56085,SLEEPY EYE MEDICAL CENTER CLINIC,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,56085,SLEEPY EYE MEDICAL CENTER CLINIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,56085,SLEEPY EYE MEDICAL CENTER CLINIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,56085,SLEEPY EYE MEDICAL CENTER CLINIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,56085,SLEEPY EYE MUNICIPAL HOSPITAL,NLP,NLP,NLP,29,03/16/2022 12:00:00 AM
