2022-02-18T16-04-21,85364,YUMA REGIONAL MED CENTER-INPATIENT,02/17/2022 12:00:00 AM,,48,,
2022-03-03T09-56-49,85364,YUMA REGIONAL MED CENTER-INPATIENT,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,85364,YUMA REGIONAL MED CENTER-INPATIENT,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,85364,YUMA REGIONAL MED CENTER-INPATIENT,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,85364,YUMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,72,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,85364,YUMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,72,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,85364,YUMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,72,03/09/2022 12:00:00 AM
2022-03-24T13-46-29,85364,YUMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,67,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,85364,YUMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,67,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,85364,YUMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,67,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,85364,YUMA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,67,03/23/2022 12:00:00 AM
