2022-02-18T16-04-21,01757,MILFORD REGIONAL MEDICAL CENTER,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,01757,MILFORD REGIONAL MEDICAL CENTER,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,01757,MILFORD REGIONAL MEDICAL CENTER,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,01757,MILFORD REGIONAL MEDICAL CENTER,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,01757,MILFORD REGIONAL MEDICAL CENTER,NLP,NLP,NLP,54,03/16/2022 12:00:00 AM
