2022-02-18T16-04-21,35801,CRESTWOOD MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-02-18T16-04-21,35801,TRINITY MEDICAL CENTER,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,35801,CRESTWOOD MEDICAL CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,35801,TRINITY MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,35801,CRESTWOOD MEDICAL CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,35801,TRINITY MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,35801,TRINITY MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,35801,CRESTWOOD MEDICAL CENTER,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,35801,CRESTWOOD MEDICAL CENTER,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35801,CRESTWOOD MEDICAL CENTER,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35801,CRESTWOOD MEDICAL CENTER,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35801,HUNTSVILLE HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,35801,CRESTWOOD MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35801,HUNTSVILLE HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35801,CRESTWOOD MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35801,CRESTWOOD MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35801,HUNTSVILLE HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35801,CRESTWOOD MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35801,HUNTSVILLE HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35801,CRESTWOOD MEDICAL CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35801,HUNTSVILLE HOSPITAL,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
