2022-02-18T16-04-21,65560,SALEM MEMORIAL DIST HOSP,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,65560,SALEM MEMORIAL DIST HOSP,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,65560,SALEM MEMORIAL DIST HOSP,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,65560,SALEM MEMORIAL DIST HOSP,03/08/2022 12:00:00 AM,03/02/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,22,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,71,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,71,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,71,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,71,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,71,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,71,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,71,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,71,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,71,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,65560,SALEM MEMORIAL DISTRICT HOSPITAL,NLP,NLP,NLP,71,03/16/2022 12:00:00 AM
