2022-02-18T16-04-21,19141,HN2040 - A EINSTEIN MED CTR - INPAT,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,19141,HN2040 - A EINSTEIN MED CTR - INPAT,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,19141,HN2040 - A EINSTEIN MED CTR - INPAT,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,19141,HN2040 - A EINSTEIN MED CTR - INPAT,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,57,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,56,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,56,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,56,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,56,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,56,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,56,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,56,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,56,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,19141,ALBERT EINSTEIN MEDICAL CENTER,NLP,NLP,NLP,56,03/30/2022 12:00:00 AM
