2022-02-18T16-04-21,68467,York General Pharmacy,02/17/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,68467,York General Pharmacy,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,68467,York General Pharmacy,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,68467,York General Pharmacy,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,68467,YORK GENERAL HOSPITAL,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
