2022-02-18T16-04-21,05819,NVRH HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,05819,NVRH HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,05819,NVRH HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,05819,NVRH HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,05819,NORTHEASTERN VERMONT REGIONAL HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,05819,NORTHEASTERN VERMONT REGIONAL HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,05819,NORTHEASTERN VERMONT REGIONAL HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,05819,NORTHEASTERN VERMONT REGIONAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,05819,NORTHEASTERN VERMONT REGIONAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,05819,NORTHEASTERN VERMONT REGIONAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,05819,NORTHEASTERN VERMONT REGIONAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,05819,NORTHEASTERN VERMONT REGIONAL HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
